ClientCode,OrderNumber,Label,Enabled,Region,GoogleRef,DefaultLCID,Ville
_TS_CO_etab_35229,11,Agence GIEN ,True,_TS_CO_Department_Loiret45,45155,1036,GIEN
_TS_CO_etab_28023,932,Agence GISORS ,True,_TS_CO_Department_Eure27,27284,1036,GISORS
_TS_CO_etab_84072,33,Agence GIVORS ,True,_TS_CO_Department_Rhne69,69091,1036,GIVORS
_TS_CO_etab_34375,18,Agence GOLFE DE ST TROPEZ ,True,_TS_CO_Department_Var83,83042,1036,COGOLIN
_TS_CO_etab_75691,8,Agence GONESSE ,True,_TS_CO_Department_ValdOise95,95277,1036,GONESSE
_TS_CO_etab_59116,935,Agence GRANDE SYNTHE ,True,_TS_CO_Department_Nord59,59271,1036,GRANDE SYNTHE
_TS_CO_etab_34219,7,Agence GRASSE ,True,_TS_CO_Department_AlpesMaritimes06,6069,1036,GRASSE
_TS_CO_etab_76039,15,Agence GRAULHET ,True,_TS_CO_Department_Tarn81,81105,1036,GRAULHET
_TS_CO_etab_59066,937,Agence GRAVELINES ,True,_TS_CO_Department_Nord59,59273,1036,GRAVELINES
_TS_CO_etab_21047,938,Agence GRAY ,True,_TS_CO_Department_HauteSane70,70279,1036,GRAY
_TS_CO_etab_84040,939,Agence GRENOBLE ALLIES ,True,_TS_CO_Department_Isre38,38185,1036,GRENOBLE
_TS_CO_etab_84026,940,Agence GRENOBLE EUROPOLE ,True,_TS_CO_Department_Isre38,38185,1036,GRENOBLE
_TS_CO_etab_84309,941,Agence GRENOBLE LA BRUYERE ,True,_TS_CO_Department_Isre38,38185,1036,GRENOBLE
_TS_CO_etab_84031,942,Agence GRENOBLE MUSSET ,True,_TS_CO_Department_Isre38,38185,1036,GRENOBLE
_TS_CO_etab_54021,943,Agence GUEBWILLER ,True,_TS_CO_Department_HautRhin68,68112,1036,GUEBWILLER
_TS_CO_etab_33095,944,Agence GUERET ,True,_TS_CO_Department_Creuse23,23096,1036,GUERET
_TS_CO_etab_27183,945,Agence GUINGAMP ,True,_TS_CO_Department_CtesdArmor22,22070,1036,GUINGAMP
_TS_CO_etab_75637,3,Agence GUYANCOURT ,True,_TS_CO_Department_Yvelines78,78297,1036,GUYANCOURT
_TS_CO_etab_54100,4,Agence HAGONDANGE ,True,_TS_CO_Department_Moselle57,57283,1036,HAGONDANGE
_TS_CO_etab_54191,949,Agence HAGUENAU ,True,_TS_CO_Department_BasRhin67,67180,1036,HAGUENAU
_TS_CO_etab_59094,950,Agence HALLUIN ,True,_TS_CO_Department_Nord59,59279,1036,HALLUIN
_TS_CO_etab_59022,7,Agence HAM ,True,_TS_CO_Department_Somme80,80410,1036,HAM
_TS_CO_etab_28002,952,Agence HARFLEUR ,True,_TS_CO_Department_SeineMaritime76,76341,1036,HARFLEUR
_TS_CO_etab_59072,954,Agence HAUBOURDIN ,True,_TS_CO_Department_Nord59,59286,1036,HAUBOURDIN
_TS_CO_etab_54077,5,Agence HAYANGE ,True,_TS_CO_Department_Moselle57,57306,1036,HAYANGE
_TS_CO_etab_59048,955,Agence HAZEBROUCK ,True,_TS_CO_Department_Nord59,59295,1036,HAZEBROUCK
_TS_CO_etab_59038,957,Agence HEM ,True,_TS_CO_Department_Nord59,59299,1036,HEM
_TS_CO_etab_59115,958,Agence HENIN BEAUMONT ,True,_TS_CO_Department_PasdeCalais62,62427,1036,HENIN BEAUMONT
