SIRET,Enseigne,Commune étab.,Existe déjà sur le refeEngagemet,source dans le refeEngagement,Action dev à faire sur ReferentielEngagementEntreprise
34295775000041,ACTIVEMPLOI,ANNONAY,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
89186430800046,ACTIVITES DE RECYCLAGE POUR L'INCLUSION,INGRE,89186430800046,"[""france-travail""]",Rien à faire 
89186430800053,ACTIVITES DE RECYCLAGE POUR L'INCLUSION,TINQUEUX,89186430800053,"[""france-travail""]",Rien à faire 
33272482200082,ACTP ENTREPRISE ADAPTEE,CHERBOURG EN COTENTIN,33272482200082,"[""france-travail""]",Rien à faire 
92202021900023,ACTUAL ABBEVILLE 2001,ABBEVILLE,92202021900023,"[""france-travail""]",Rien à faire 
89333944000057,ACTUAL DIGITAL OUEST,DIJON,89333944000057,"[""france-travail""]",Rien à faire 
41756246900045,ACVO,LACROIX ST OUEN,41756246900045,"[""france-travail""]",Rien à faire 
33977442400149,ADAGES ENTREPRISE ADAPTEE,LATTES,33977442400149,"[""france-travail""]",Rien à faire 
93127111800016,ADAP 12,FIRMI,93127111800016,"[""france-travail""]",Rien à faire 
77562928000642,ADAP'ENTREPRISE61,ALENCON,77562928000642,"[""france-travail""]",Rien à faire 
77562928000667,ADAP'ENTREPRISE61 - SITE D'ARGENTAN,ARGENTAN,77562928000667,"[""france-travail""]",Rien à faire 
77562928000287,ADAP'ENTREPRISE61 - SITE DE LA FREMONDIE,L AIGLE,77562928000287,"[""france-travail""]",Rien à faire 
77562928000279,ADAP'ENTREPRISE61 - SITE DU BOCAGE,FLERS,77562928000279,"[""france-travail""]",Rien à faire 
77562928000451,ADAP'ENTREPRISE61 - SITE UCPR,ALENCON,77562928000451,"[""france-travail""]",Rien à faire 
38319237400155,ADAP'PRO SERVICES DE L'OUEST,ST LAURENT DU MARONI,38319237400155,"[""france-travail""]",Rien à faire 
38319237400163,ADAP'PRO SERVICES RESTAURATION,KOUROU,38319237400163,"[""france-travail""]",Rien à faire 
77812546800414,ADAPEI,VESOUL,77812546800414,"[""france-travail""]",Rien à faire 
77558500300962,ADAPEI,BLANQUEFORT,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
82023279100013,ADAPEI 58 SAS,URZY,82023279100013,"[""france-travail""]",Rien à faire 
82023279100021,ADAPEI 58 SAS,CLAMECY,82023279100021,"[""france-travail""]",Rien à faire 
